Hyperplastic_FEATURES,,OBJEKT,BAUM STRUKTUR,,SYNONYMS-woxikon,,SYNONYMS-thesaurus,HIERARCHY
lumen krampfplasmolysenartig,,['LUMEN'],,,"[[], []]",,"[['Einheit des Lichtstromes', 'Lumen'], '']",
Drüse eiförmig,,['DRÜSE'],,,"[[], ['oval', 'eiförmig', 'ellipsoid', 'eirund', 'ellipsenförmig']]",,"[['Drüse'], '']",
keine Außenlumenzellen,,"['LUMEN', 'ZELLE', 'ZELLE']",,,"[['nicht'], []]",,"[['nur (vor Zahl)', 'denkbar knapp', 'gerade eben', 'gerade mal', 'gerade noch', 'hauchdünn', 'kaum', 'keine (+ Zahl)', 'knapp', 'nicht mal', 'nicht mehr als', 'sehr knapp', 'grad mal', 'grade mal', 'so gerade eben (noch)'], '']",
Abgrenzung zu Gewebe durch Zellkernreihe,,"['ZELLE', 'ZELLKERN', 'ZELLKERN']",,,"[['Durchsetzung', 'Begrenzung', 'Abtrennung', 'Grenzlinie', 'Umriss', 'Saum', 'Eingrenzung', 'Demarkationslinie', 'Umzäunung', 'Trennungslinie', 'Einzäunung', 'Abgrenzung', 'Beschränkung'], ['her', 'geschlossen', 'betreffend', 'allzu', 'hierher', 'verschlossen', 'versperrt', 'neben', 'gegen', 'anlässlich', 'je', 'aus', 'zu', 'um'], ['Stoff', 'Gewebe', 'Wolle', 'Textilien', 'Textil', 'Schleier', 'Geflecht', 'Erzeugnis', 'Flechtwerk', 'Kram', 'Gespinst', 'Loden', 'Baumwollgewebe', 'Trikotagen', 'Gewirke', 'Ripsgewebe', 'Webwaren', 'Spinnwaren', 'fließendes', 'Nähwirktechnik'], ['kraft', 'mittels', 'gar', 'infolge', 'dank', 'mithilfe', 'hindurch', 'abwärts', 'gekocht', 'abgetan', 'vermittels', 'wegen', 'aufgrund', 'durch', 'von', 'während', 'verursacht', 'unter', 'mittendurch', 'mit', 'auf'], []]",,"[['Abgrenzung', 'Differenzierung', 'Trennung', 'Unterscheidung', 'Differentiation', 'Diskriminierung', 'Distinktion'], ['zu', 'nach', 'nach (+ Firmenname, nicht-standardsprachlich)'], ['Gewebe', 'Stoff', 'Textilie', 'Tuch'], ['anhand', 'durch', 'mit', 'mit Hilfe (von)', 'mithilfe', 'mittels', 'per', 'qua', 'unter Einsatz von', 'unter Zuhilfenahme von', 'vermittels', 'vermittelst', 'via', 'über'], '']",
Zellschicht ohne Zellkerne,,"['ZELLE', 'ZELLKERN', 'ZELLKERN']",,,"[[], ['weniger', 'ausgenommen', 'mangels', 'exklusive', 'abzüglich', 'fehlend', 'unbekleidet', 'ohne', 'außer', 'unter', 'nicht', 'mit', 'abgesehen', 'frei'], []]",,"['', ['abgesehen von', 'abzüglich', 'ausgenommen', 'außer', 'bis auf', 'exklusive', 'in Ermangelung (von)', 'mangels', 'mit Ausnahme von', 'nicht inbegriffen', 'nicht mitgerechnet', 'ohne', 'ohne Einbezug von', 'sonder', 'unbeachtlich einer Sache (Juristendeutsch)', 'unter Ausschluss von', 'bar (einer Sache)'], '']",
Lumen groß,,['LUMEN'],,,"[[], ['bekannt', 'lang', 'groß', 'hoch', 'angesehen', 'wichtig', 'berühmt', 'verhältnismäßig', 'unendlich', 'ungewöhnlich', 'außerordentlich', 'umfassend', 'enorm', 'ausgedehnt', 'anschaulich', 'empfindlich', 'unerwartet', 'beträchtlich', 'außergewöhnlich', 'umfangreich', 'mächtig', 'gründlich', 'großflächig', 'hervorragend', 'einflussreich', 'glänzend', 'erwachsen', 'eindrucksvoll', 'nennenswert']]",,"[['Einheit des Lichtstromes', 'Lumen'], ['von Bedeutung', 'wichtig (sein)', 'ankommen auf (es)', 'bedeutend', 'bedeutsam', 'Bedeutung haben', 'entscheidend', 'erheblich', 'Gewicht haben', 'gewichtig', 'groß', 'großgeschrieben werden', 'hoch im Kurs stehen', '(einen) hohen Stellenwert genießen', '(einen) hohen Stellenwert haben', 'ins Gewicht fallen(d)', 'keine Kleinigkeit (sein)', 'maßgeblich', 'nicht zu unterschätzen', 'nicht zu vernachlässigen (sein)', 'relevant', 'von Belang', 'von Gewicht', 'von großer Bedeutung', 'von großer Wichtigkeit', 'von Relevanz', 'wesentlich', 'zählen', 'zentral']]",
dünne Zellwände,,['ZELLE'],,,"[[], []]",,"['', '']",
kleine Zellen,,"['ZELLE', 'ZELLE']",,,"[['Baby', 'Bub', 'Kind', 'Angebetete', 'Kleine', 'junge'], ['Zelle', 'Gefängnis', 'Vereinigungen', 'Kerker', 'Einsiedelei', 'Haftanstalt', 'Knast', 'Verlies', 'Gefangenenzelle']]",,"[['(der) Jüngste', '(die) Jüngste', 'Benjamin', '(der) Jüngste im Bunde', '(die) Jüngste im Bunde', '(unser) Jüngstes', '(der) Kleine', '(die) Kleine', '(unser) Kleinstes', 'Nesthäkchen', 'Nestküken'], '']",
großes Lumen,,['LUMEN'],,,"[[], []]",,"['', ['Einheit des Lichtstromes', 'Lumen']]",
wenige runde Kerne,,['ZELLKERN'],,,"[['wenige', 'abzählbar', 'einige', 'eine'], ['Weg', 'Bewegung', 'Menge', 'Spiel', 'Führung', 'Kontrolle', 'Runde', 'Gang', 'Marsch', 'Ausschuss', 'Partie', 'Durchgang', 'Promenade', 'Spaziergang', 'Schar', 'Trip', 'Turnus', 'Zusammenkunft', 'Streifzug', 'Match', 'Ausflug', 'Kreis', 'Bummel', 'Gruppe', 'Spazierweg', 'Kampfbahn', 'Lage', 'Kontrollgang', 'Törn'], ['Bedeutung', 'Mitte', 'Ergebnis', 'Zentrum', 'Stein', 'Innere', 'Kern', 'Wesen', 'Charakter', 'Mittelpunkt', 'Schwerpunkt', 'Fokus', 'Bilanz', 'Hauptsache', 'Füllung', 'Grundidee', 'Innerste', 'Kernstück', 'Kreuzungspunkt', 'Essenz', 'Quintessenz', 'Angelpunkt', 'Resümee', 'Ausgedrückte', 'Kerngruppe', 'Lebensnerv', 'Samenkern', 'springender', 'Obstkern', 'Füllsel', 'fester', 'Nabel']]",,"[['einzelne', 'wenige', 'der eine oder andere', 'ein paar verlorene', 'ein paar versprengte', 'eine Handvoll', 'einige wenige', 'sehr wenige', 'ganz wenige', 'zwei (oder) drei'], ['Spiel', 'Begegnung', 'Fight', 'Kampf', 'Match', 'Partie', 'Runde', 'Treffen', 'Aufeinandertreffen'], '']",
kerne basal im Drüsengewebe,,"['DRÜSE', 'ZELLKERN']",,,"[['Bedeutung', 'Mitte', 'Ergebnis', 'Zentrum', 'Stein', 'Innere', 'Kern', 'Wesen', 'Charakter', 'Mittelpunkt', 'Schwerpunkt', 'Fokus', 'Bilanz', 'Hauptsache', 'Füllung', 'Grundidee', 'Innerste', 'Kernstück', 'Kreuzungspunkt', 'Essenz', 'Quintessenz', 'Angelpunkt', 'Resümee', 'Ausgedrückte', 'Kerngruppe', 'Lebensnerv', 'Samenkern', 'springender', 'Obstkern', 'Füllsel', 'fester', 'Nabel'], ['wesentlich', 'grundlegend', 'fundamental', 'elementar', 'gravierend', 'essenziell', 'substanziell', 'grundsätzlich'], [], []]",,"['', ['die Grundlage bildend', 'elementar', 'essentiell', 'essenziell', 'fundamental', 'Grund- (z.B. Grundkenntnisse)', 'grundlegend', 'primär', 'prinzipiell', 'substanziell', 'von elementarer Bedeutung', 'von essentieller Bedeutung', 'von essenzieller Bedeutung', 'von grundlegender Bedeutung', 'wesentlich', 'wichtig', 'basal', 'eminent'], ['geheimer Informator', 'IM', 'inoffizieller Mitarbeiter (der Stasi)', 'informeller Mitarbeiter'], '']",
wenige kleine Sekretblasen,,[],,,"[['wenige', 'abzählbar', 'einige', 'eine'], ['Baby', 'Bub', 'Kind', 'Angebetete', 'Kleine', 'junge'], []]",,"[['einzelne', 'wenige', 'der eine oder andere', 'ein paar verlorene', 'ein paar versprengte', 'eine Handvoll', 'einige wenige', 'sehr wenige', 'ganz wenige', 'zwei (oder) drei'], ['(der) Jüngste', '(die) Jüngste', 'Benjamin', '(der) Jüngste im Bunde', '(die) Jüngste im Bunde', '(unser) Jüngstes', '(der) Kleine', '(die) Kleine', '(unser) Kleinstes', 'Nesthäkchen', 'Nestküken'], '']",
viel Stroma mit verschiedenen Kernen,,"['STROMA', 'ZELLKERN']",,,"[['häufig', 'Viel', 'viel', 'wiederholt', 'mehrmals', 'ausreichend', 'konzentriert', 'unendlich', 'enorm', 'reichlich', 'zahlreich', 'umfangreich', 'ausgiebig', 'massenhaft', 'endlos', 'üppig', 'allerhand', 'unaufhörlich', 'mannigfaltig', 'oft', 'exorbitant', 'mehr', 'haufenweise', 'sehr', 'millionen', 'zahllos', 'wie', 'vielköpfig', 'sehr', 'eine', 'en'], [], ['mittels', 'plus', 'inklusive', 'samt', 'einbezogen', 'auch', 'eingerechnet', 'inbegriffen', 'vermittels', 'bei', 'mit', 'durch', 'gemeinsam', 'einbegriffen', 'zusammen', 'im'], ['bestimmte'], ['enthülsen', 'Bedeutung', 'Mitte', 'Ergebnis', 'Zentrum']]",,"[['haufenweise', 'im Überfluss', 'in großer Zahl', 'massenhaft', 'massenweise', 'reich', 'reichhaltig', 'reichlich', 'reihenweise', 'unbegrenzt', 'unzählig', 'üppig', 'viel', 'vielzählig', 'waggonweise', 'zahlreich', 'abundant', 'en masse', 'Legion sein', 'zuhauf', 'eine Menge Holz', 'in Hülle und Fülle', 'in rauen Mengen', 'massig', 'wie Sand am Meer'], ['Zellzwischenraum', 'Interstitium', 'Stroma'], ['anhand', 'durch', 'mit', 'mit Hilfe (von)', 'mithilfe', 'mittels', 'per', 'qua', 'unter Einsatz von', 'unter Zuhilfenahme von', 'vermittels', 'vermittelst', 'via', 'über'], '', '']",
lumen unregelmäßig ,,['LUMEN'],,,"[[], ['gelegentlich', 'vereinzelt', 'unregelmäßig', 'asymmetrisch', 'ungleichmäßig', 'beiläufig', 'ungeordnet', 'regellos', 'abweichend', 'manchmal', 'selten', 'bisweilen', 'nicht', 'dann']]",,"[['Einheit des Lichtstromes', 'Lumen'], ['manchmal', 'ab und an', 'ab und zu', 'bisweilen', 'des Öfteren', 'des Öftern', 'fallweise', 'Gelegenheits...', 'gelegentlich', 'gerne', 'hin und wieder', '(es) kommt durchaus vor', 'manches Mal', 'mitunter', 'okkasionell', 'sporadisch', 'unregelmäßig', 'vereinzelt', 'verschiedentlich', 'von Zeit zu Zeit', 'zeitweilig', 'zeitweise', 'zuweilen', 'zuzeiten', 'dann und wann', 'das eine oder andere Mal', 'hie und da', 'hier und da', 'immer mal wieder', 'nicht immer, aber immer öfter', 'öfters', 'schon einmal', 'schon mal']]",
drüse scharf abgegrenzt von stroma,,"['DRÜSE', 'STROMA']",,,"[[], ['stark', 'deutlich', 'klein', 'eindeutig', 'erkennbar', 'intensiv', 'hart', 'scharf', 'grob', 'super', 'plötzlich', 'rau', 'vernichtend', 'drastisch', 'entschlossen', 'kräftig', 'vehement', 'bitter', 'intelligent', 'ironisch', 'klug', 'empört', 'zugespitzt', 'geschliffen', 'rigoros', 'brillant', 'abschätzig', 'prägnant', 'rauh', 'schlimm'], ['begrenzt', 'abgegrenzt', 'vorhersagbar'], ['per', 'infolge', 'dank', 'zeitlich', 'räumlich', 'zukünftig', 'wegen', 'von', 'durch', 'zusammengesetzt', 'verursacht', 'ob', 'auf'], []]",,"[['Drüse'], ['hart', 'scharf', 'übertrieben kritisch'], '', ['von', 'durch', 'seitens', 'von Seiten', 'vonseiten'], ['Zellzwischenraum', 'Interstitium', 'Stroma']]",
    ,,,,,,,,
info:,,,,,,,,
number of survery part:0,,,,,,,,
