"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","G05Q18[SQ01]","G05Q18[SQ01comment]","G05Q18[SQ02]","G05Q18[SQ02comment]","G05Q18[SQ03]","G05Q18[SQ03comment]","G05Q18[SQ04]","G05Q18[SQ04comment]","G05Q17","G07Q18","E01Q01","E01Q02","E01Q03[SQ01_SQ01]","E01Q03[SQ01_SQ02]","E01Q03[SQ01_SQ03]","E01Q03[SQ02_SQ01]","E01Q03[SQ02_SQ02]","E01Q03[SQ02_SQ03]","E01Q03[SQ03_SQ01]","E01Q03[SQ03_SQ02]","E01Q03[SQ03_SQ03]","G01Q01","G01Q02","G01Q03[SQ01_SQ01]","G01Q03[SQ01_SQ02]","G01Q03[SQ01_SQ03]","G01Q03[SQ02_SQ01]","G01Q03[SQ02_SQ02]","G01Q03[SQ02_SQ03]","G01Q03[SQ03_SQ01]","G01Q03[SQ03_SQ02]","G01Q03[SQ03_SQ03]","G02Q01","G02Q02","G02Q03[SQ01_SQ01]","G02Q03[SQ01_SQ02]","G02Q03[SQ01_SQ03]","G02Q03[SQ02_SQ01]","G02Q03[SQ02_SQ02]","G02Q03[SQ02_SQ03]","G02Q03[SQ03_SQ01]","G02Q03[SQ03_SQ02]","G02Q03[SQ03_SQ03]","G03Q01","G03Q02","G03Q03[SQ01_SQ01]","G03Q03[SQ01_SQ02]","G03Q03[SQ01_SQ03]","G03Q03[SQ02_SQ01]","G03Q03[SQ02_SQ02]","G03Q03[SQ02_SQ03]","G03Q03[SQ03_SQ01]","G03Q03[SQ03_SQ02]","G03Q03[SQ03_SQ03]","G04Q01","G04Q02","G04Q03[SQ01_SQ01]","G04Q03[SQ01_SQ02]","G04Q03[SQ01_SQ03]","G04Q03[SQ02_SQ01]","G04Q03[SQ02_SQ02]","G04Q03[SQ02_SQ03]","G04Q03[SQ03_SQ01]","G04Q03[SQ03_SQ02]","G04Q03[SQ03_SQ03]","G08Q19"
"1","2021-03-23 19:21:04","8","de","2014618592","2021-03-23 19:00:23","2021-03-23 19:21:04","Nein","","Nein","","Nein","","Ja","","24","ok","","","","","","","","","","","","Richtig","Falsch","Gänseblümchenartig","regelmäßige Anordnung weißer Anteile","","Drüse klar abgegrenzt","Segmente kreisförmig um Mittelpunkt","","weis vor rotem Grund","","","Falsch","Richtig","Zellkerne auserhalb","oval","","starke Kontrastierung","Inhomogenes weis im Inneren","","Drüse schwarz umrandet","","","Falsch","Falsch","breite Umrandung ","heller Kern","","mehrfärbig","von rosa Fäden durchzogen","","eher rechteckig","","","Falsch","Richtig","längliche Zellen","vereinzelte dunkele Flecken","","in dichten Zellverband eingebettet","rot","","Drüßenanteile nach Innen heller","","","Aufgabenstellung  verständlich :)"
"2","","7","de","801154230","2021-03-25 12:24:35","2021-03-25 12:43:54","Nein","","Nein","","Nein","","Nein","","","ok","","","","","","","","","","","","Richtig","Falsch","qshift","q","q","q","q","","","","","Falsch","Richtig","q","q","q","q","q","q","","","","Richtig","Falsch","q","q","q","q","q","q","","","","Falsch","Falsch","q","q","q","q","q","q","","","",""
"3","","3","de","2145399242","2021-03-29 23:23:06","2021-03-29 23:23:53","Nein","","Nein","","Nein","","Ja","Student Biomedical Engineering","26","ok","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","2021-03-30 11:57:34","8","de","850437755","2021-03-30 11:28:32","2021-03-30 11:57:34","Nein","","Nein","","Nein","","Ja","","21","ok","","","","","","","","","","","","Richtig","Falsch","Blumenförmig","Symmetrie ","Stroma netzförmig","Gland boundary stabil ","Gland boundary dicker ","","","","","Falsch","Richtig","Oval","Asymmetrisch ","Löchrig","Gland boundary geschwächt","Unregelmäßig ","","","","","Falsch","Richtig","Stark durchzogen","Lumen klein","Gland boundary löchrig ","Netzartig ","Nach innen ziehend ","In sich symmetrisch ","Deutliche Schichten ","","","Falsch","Richtig","Lumen langförmig","Langezogene epith. Cells ","Relativ symmetrisch ","Feiner durchzogen","Dünne gland boundary ","","","","","Einige  Abbildungen haben mich mit ihrer fast Symmetrie an Blumen und oder Mandelas erinnert, spannend diese Muster sieht man häufiger in der Natur :) "
"5","","4","de","916091417","2021-04-01 09:01:00","2021-04-01 09:16:08","Ja","","Nein","","Nein","","Nein","","35","ok","","","","","","","","","","","","Richtig","Falsch","Normal crypt architecture","H &E","","Basaly located nuclei","No inflammation","","Goblet cells","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","","","en","175388846","2021-04-02 14:26:58","2021-04-02 14:26:58","N/A","","N/A","","N/A","","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","2021-04-02 15:01:16","8","en","457177890","2021-04-02 14:27:41","2021-04-02 15:01:16","Ja","","Nein","","Nein","","Nein","","35","ok","","","","","","","","","","","","Richtig","Falsch","Normal  ","No cryptitis","","H &E","Small round nucleus","","preserved crypt architecture","","","Falsch","Richtig","Distinguish from sessile serrated polyp","Sigmoid and rectum","","Benign","Tufting from epithelial overcrowding","","Decreased epithelial turnover","","","Richtig","Falsch","Intraepithelial neoplasm","Prominant nucleoli","Low grade","Epithelial dysplasia","Eosinophilic cytoplasm","Increase nuclear to cytoplasmic ratio","Nuclear hyperchromasia","Reduction of number of goblet cells","Elongated nuclei &pseudostratification","Richtig","Falsch","Nuclei stratified and","Vesicular","","reach luminal surface","Mittwoch figures are prominent","","Enlarged, hyperchromatic ","Reduced mucin","","Good luck ;)"
"8","2021-04-02 15:53:23","8","de","1635836998","2021-04-02 15:43:09","2021-04-02 15:53:23","Nein","","Nein","","Ja","","Nein","","26","ok","","","","","","","","","","","","Richtig","Falsch","eosinophile Färbung","einschichtiges Epithel","Zellkerne","physiologisch?","Becherzellen?","","","","","Falsch","Richtig","vergrößertes Lumen","Blaufärbung","prominente Zellkerne","Hyperplasie der Zellen?","Asymmetrie","","","","","Richtig","Falsch","Blaufärung","prominente Zellkerne","nachbart an weitere Drüse","Lumen verengt","Becherzellen vergrößert?","","","","","Falsch","Richtig","eosinophile Färbung","mehrschichtig","asymmetrisches Lumen","dunkle Punkte/Pigmente?","Becherzellen?","","","","",""
"9","","3","de","1561019099","2021-04-05 21:34:46","2021-04-05 21:36:32","Nein","","Nein","","Nein","","Nein","","","ok","","","","","","","","","","","","Richtig","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10","2021-04-08 12:37:06","8","de","52228268","2021-04-08 11:56:14","2021-04-08 12:37:06","Nein","","Nein","","Nein","","Ja","TU Student (Biomedical Engineering)","23","ok","","","","","","","","","","","","Richtig","Falsch","Sehr dunkle Drüsenbegrenzung","große weiße Epithelzellen","meist runde oder ovale Formen","einheitliches und weißes Lumen","klar definierte Formen im Inneren der Dr","","","","","Richtig","Richtig","mehr oval als rund Druesengrenze","sehr weisses Lumen","wenige Epithelzellen","Lumen nicht rund ","dunkles Bereich ausserhalb von Lumen","","","","","Richtig","Falsch","kleines Lumen","unklare Druesengrenze","weisses Lumen","verschwommenes Stroma","viele Epithelzellen","","","","","Richtig","Falsch","langes Lumen","Druesengrenze schwer erkennbar","weisse Druesengrenze","lange Epithelzellen","eckige Druesengrenze","","","","",""
"11","2021-04-08 12:38:58","8","de","342769195","2021-04-08 12:12:04","2021-04-08 12:38:58","Nein","","Nein","","Nein","","Ja","Biomedical Engineering Student","26","","","","","","","","","","","","","Richtig","Falsch","blütenförmige anordnung der Lumen","zerfurchtes Äußeres","klare Trennungen","Ein zentrales Lumen","eiförmige Lumen","","klare Abtrennung durch Mucosa","kreisrunde Mitte","","Falsch","Richtig","schwarze Punkte","unklare Übergänge","Lumen als Insel","Avocadoförmige Abtrennung","marmorartige Strukturen in Lumen","langezogene Drüse","heller, unförmiger Kern","Drüse hebt sich vom umliegenden Gewebe","dunkler, fleckiger Rand","Richtig","Richtig","Mandala","keine klare Trennung zu Lumen","Anhäufung lila Punkte","3 runde Schichten","Keine klaren Grenzen","Quetschung von rechts unten","Lumen zentral und hell","rosa als Verbindendes Element","Quadrat mit abgerundeten Ecken","Falsch","Richtig","Lumen mit Richtung","kleine Lumen um zentrales Lumen","Katzenauge","Spitzes, kantiges Lumen","fließende Übergänge","von hell (innen) nach dunkel (außen)","Pinselstriche nach Außen","längliche Kerne","",""
"12","2021-04-08 14:01:34","8","de","1608685237","2021-04-08 13:54:09","2021-04-08 14:01:34","Nein","","Nein","","Ja","8. semester","Nein","","24","ok","","","","","","","","","","","","Richtig","Falsch","stroma unauffällig","keine auffälligkeiten","geordnet","zellen geordnet","rund","","","","","Falsch","Richtig","vergrößert","oval","unförmig","drüseninhalt","evtl infiltration ","","","","","Richtig","Falsch","enges lumen","rand gut sichtbar","dichtes stroma","andere drüsenendstücke sichtbar","gut beurteilbar","","","","","Richtig","Falsch","verdickter rand","zellinfiltration","hyperplasie","lumen verengt","vergrößert","","","","",""
"13","","3","de","888320236","2021-04-08 17:49:00","2021-04-08 17:49:29","Nein","","Nein","","Ja","10. Semester","Nein","","26","ok","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14","2021-04-11 12:36:59","8","de","463417561","2021-04-11 12:30:32","2021-04-11 12:36:59","Nein","","Nein","","Nein","","Ja","Bachelor of Science ","22","ok","","","","","","","","","","","","Richtig","Falsch","Mehrfach geteilt","Dunkel und hell","Blume","Faserig ","Violett/Rosa","","","","","Richtig","Richtig","Oval","Dunkel","Weiß","Adern","Punkte","","","","","Richtig","Falsch","Rosa","Flieder farben","Kreisförmig","Oval","Viele Zellen","","","","","Richtig","Richtig","Oval ","Faserig ","Langgezogen","Weißes lumen","Rot/pink","","","","",""
"15","2021-04-11 20:33:58","8","de","558825191","2021-04-11 20:26:46","2021-04-11 20:33:58","Nein","","Nein","","Nein","","Ja","","22","ok","","","","","","","","","","","","Richtig","Richtig","Drüse mit vielen Drüsengängen","Lumen locker","","Gesunde Drüse","Lumen löchrig","","Drüse Blumenförmig","","","Falsch","Falsch","Lumen oval","Lumen luftig","","Lumen löchrig","Drüsen entartet","","Drüse kantig","","","Richtig","Richtig","Lumen angeschwollen","Lumen luftig","","Lumen lila","Lumen netzartig","","Drüse klein","","","Falsch","Richtig","Drüse wurmförmig","Lumen löchrig","","Lumen angeschwollen","Lumen netzartig","","Lumen rötlich","","",""
"16","2021-04-11 21:36:00","8","de","661377511","2021-04-11 20:58:38","2021-04-11 21:36:00","Nein","","Nein","","Nein","","Ja","Architektur","25","ok","","","","","","","","","","","","Richtig","Richtig","Kreisform mittig","Blume","Kreisform außen","mit kreisähnlichen Formen gefüllter Ring","eindeutiges Zentrum","","","","","Falsch","Richtig","Spinnenfäden mittig","Klecks in Hülle","Marmorierung mit Punkten außen","unregelmäßiger Ring um das Innere","Reihe von Punkten entlang  Außenkante","","","","","Richtig","Richtig","längliches Zentrum","lineare Verbindungen Außen zu Innen","breiter äußerer Ring","klar abgegrenzter Kern","Gesamtes nicht Kreisförmig ","","","","","Falsch","Richtig","Gesamtes nicht kreisförmig","Kern länglich","Kern klar abgegrenzt","schmale Außenlinie","um den Kern weniger dicht Punkte","um den Kern größere Punkte","","","","ganz spannend die Bilder :) ähnlich und doch sehr unterschiedlich"
"17","2021-04-13 14:20:11","8","de","1534718944","2021-04-13 13:55:31","2021-04-13 14:20:11","Nein","","Nein","","Nein","","Ja","Physiotherapeutin","26","ok","","","","","","","","","","","","Richtig","Falsch","mindestens 10 Zellen sichtbar","Zellen sind klar abgrenzbar","","Zellen sind annähernd gleich groß","klare Drüsenwand","","sternförmige Anordnung der Zellen","","","Falsch","Richtig","Drüse ist nicht symmetrisch","Struktur innerhalb des Lumens sichtbar","","klare Abgrenzung von Umgebung möglich","Ausbuchtungen innerhalb der Drüsenwand","","Drüsenwand ist ungleichmäßig dick","","","Richtig","Richtig","ovale Drüsenform","klare Abgrenzung von Umgebung möglich","Drüsenwand aus vielen kleinen Zellen","dicke Drüsenwand","ovales Lumen","","","","","Falsch","Richtig","ovale Drüsenform","Lumen flach und länglich","klare Abgrenzung von Umgebung möglich","Lumenwand ist nicht durchgängig","Ausstülpungen am Lumen sichtbar","","","","","Mir fehlt leider das Fachwissen um die Abbildungen richtig interpretieren zu können."

