HEALTHY_FEATURES,,OBJEKT,BAUM STRUKTUR,,SYNONYMS-woxikon,,SYNONYMS-thesaurus,HIERARCHY
klare Abtrennung durch Mucosa,,[],,,"['Klare', 'Schnaps', 'Teilung', 'Abbau', 'Aufteilung', 'Spaltung', 'Isolation', 'Abkehr', 'Ablösung', 'Abtrennung', 'Isolierung', 'Separation', 'Abschottung', 'Absonderung', 'Amputation', 'Abteilung', 'Resektion', 'Exzision', 'Ab', 'Gliedabtragung', 'Gliedabsetzung', 'Exartikulation', 'kraft', 'mittels', 'gar', 'infolge', 'dank', 'mithilfe', 'hindurch', 'abwärts', 'gekocht', 'abgetan', 'vermittels', 'wegen', 'aufgrund', 'durch', 'von', 'während', 'verursacht', 'unter', 'mittendurch', 'mit', 'auf']",,"['Ablösung', 'Abtrennung', 'Auftrennung', 'Lösung', 'anhand', 'durch', 'mit', 'mit Hilfe (von)', 'mithilfe', 'mittels', 'per', 'qua', 'unter Einsatz von', 'unter Zuhilfenahme von', 'vermittels', 'vermittelst', 'via', 'über']",
kreisrunde Mitte,,[],,,"['Mitte', 'Zentrum', 'Zentrale', 'Mittelpunkt', 'Ausgleich', 'Kreuzung', 'Kompromiss', 'Metropole', 'Hauptsache', 'Innerste', 'Herzstück', 'Kreuzungspunkt', 'Kernpunkt', 'Kernelement', 'Punkt', 'halber']",,"['Mitte', 'Mittelpunkt', 'Zentrum']",
stroma unauffällig,,['STROMA'],,,"['einfach', 'schlicht', 'geheim', 'heimlich', 'versteckt', 'bescheiden', 'solide', 'verschwiegen', 'unauffällig', 'diskret', 'dürftig', 'unmerklich', 'dezent', 'ausdruckslos', 'un', 'un', 'sehr', 'nicht', 'unmerkbar', 'verstohlen', 'bedürfnislos']",,"['Zellzwischenraum', 'Interstitium', 'Stroma', 'dezent', 'diskret', 'leise', 'rücksichtsvoll', 'schonend', 'taktvoll', 'unaufdringlich', 'unauffällig', 'verhalten', 'vorsichtig', 'zurückhaltend', 'zurückgenommen']",
keine auffälligkeiten,,[],,,"['nicht', 'Talent', 'Verrücktheit', 'Auffälligkeit', 'Extravaganz', 'Überspanntheit', 'Verstiegenheit', 'Ausgefallenheit', 'Übertriebenheit', 'Überspitztheit', 'Verdrehtheit', 'Skurrilität', 'auffällige']",,"['nur (vor Zahl)', 'denkbar knapp', 'gerade eben', 'gerade mal', 'gerade noch', 'hauchdünn', 'kaum', 'keine (+ Zahl)', 'knapp', 'nicht mal', 'nicht mehr als', 'sehr knapp', 'grad mal', 'grade mal', 'so gerade eben (noch)']",
geordnet,,[],,,"['aufgeteilt', 'gegliedert', 'geordnet', 'beherrscht', 'strukturiert', 'erledigt', 'integer', 'bourgeois', 'fehlerfrei', 'unbeschädigt', 'überschaubar', 'ordentlich', 'bezahlbar', 'gerade', 'aufgeräumt', 'fehlerlos', 'mangelfrei', 'immer']",,"['geordnet', 'mit System', 'ordentlich', 'planmäßig', 'strukturiert', 'systematisch']",
zellen geordnet,,['ZELLE'],,,"['Zelle', 'Gefängnis', 'Vereinigungen', 'Kerker', 'Einsiedelei', 'Haftanstalt', 'Knast', 'Verlies', 'Gefangenenzelle', 'aufgeteilt', 'gegliedert', 'geordnet', 'beherrscht', 'strukturiert', 'erledigt', 'integer', 'bourgeois', 'fehlerfrei', 'unbeschädigt', 'überschaubar', 'ordentlich', 'bezahlbar', 'gerade', 'aufgeräumt', 'fehlerlos', 'mangelfrei', 'immer']",,"['geordnet', 'mit System', 'ordentlich', 'planmäßig', 'strukturiert', 'systematisch']",
rund,,[],,,"['rund', 'ungefähr', 'geschätzt', 'breit', 'circa', 'beinahe', 'dick', 'vollendet', 'annähernd', 'zirka', 'ausgedehnt', 'kräftig', 'kugelförmig', 'rundlich', 'etwa', 'kreisrund', 'meisterhaft', 'annäherungsweise', 'stämmig', 'ausladend', 'gegen', 'kugelrund', 'dicklich', 'sehr', 'sehr', 'um', 'wohlbeleibt', 'mollig', 'korpulent', 'beleibt']",,"['ungefähr', 'annähernd', 'annäherungsweise', 'ca.', 'circa', 'etwa', 'gegen', 'geschätzt', 'grob (geschätzt)', 'grob gesagt', 'in etwa', '(Betrag) plus/minus (Abweichungsbetrag/Toleranz)', 'rund', 'schätzungsweise', 'Stücker (+ Zahl)', 'überschlägig', 'um', 'vielleicht', 'zirka', 'approximativ', 'näherungsweise', 'wohl', 'gefühlt', '(so) in dem Dreh', 'lass es (+ Zahl) gewesen sein', 'lass es (+ Zahl) sein', 'mehr oder weniger', 'Pi mal Daumen', 'plus/minus (Betrag)', 'so circa', 'so (in) etwa', 'so gegen', 'so um die', 'so ungefähr', 'über den Daumen (gepeilt)', 'um den Dreh (rum)', 'um die']",
Mehrfach geteilt,,[],,,"['häufig', 'mehrfach', 'wiederholt', 'häufiger', 'mehrmals', 'kontinuierlich', 'überflüssig', 'zahlreich', 'oft', 'dutzende', 'mehrmalig', 'oftmalig', 'viele', 'etliche', 'abermalig', 'unterschiedlich', 'aufgelöst', 'getrennt', 'geteilt', 'gegliedert', 'einzeln', 'isoliert', 'geschieden', 'zerfallen', 'abgesondert', 'disjunkt', 'unverbunden']",,"['...malig', 'mehrfach', 'mehrmalig', 'wiederholt', 'x-malig', 'abgesondert', 'abgetrennt', 'einzeln', 'geteilt', 'getrennt', 'individuell', 'separat', 'unabhängig']",
Dunkel und hell,,[],,,"['Nacht', 'unklar', 'Zweifel', 'bedeckt', 'Geheimnis', 'Dunkel', 'dunkel', 'Rätsel', 'geheim', 'verwickelt', 'Dunkelheit', 'verborgen', 'Finsternis', 'Nordseite', 'lose', 'fraglich', 'Schein', 'kräftig', 'Dämmerung', 'strittig', 'zweifelhaft', 'vage', 'fragwürdig', 'Fragezeichen', 'gedämpft', 'bedenklich', 'aussichtslos', 'Unklarheit', 'undurchsichtig', 'Ungewissheit', 'verdächtig', 'düster', 'tragisch', 'magisch', 'Kernschatten', 'trüb', 'außerdem', 'ansonsten', 'plus', 'überdies', 'eingeschlossen', 'und', 'auch', 'eingerechnet', 'inbegriffen', 'mitgerechnet', 'mit', 'sowie', 'wie', 'stark', 'schön', 'konzentriert', 'hell', 'Helligkeit', 'dünn', 'glänzend', 'klug', 'durchsichtig', 'begabt', 'silbrig', 'leuchtend', 'heiter', 'schlau', 'grell', 'erleuchtet', 'strahlend', 'clever', 'durchdringend', 'verständig', 'gescheit', 'präzis', 'völlig', 'lodernd', 'lichtdurchflutet', 'lichterfüllt', 'gehaltlos', 'sehr', 'sehr', 'sehr', 'in', 'aufs', 'ganz', 'anstellig']",,"['dunkel', 'düster', 'finster', 'schwarz', 'ansonsten', 'auch', 'auch weil', 'außerdem', 'daneben', 'darüber hinaus', 'dazu', 'des Weiteren', 'ebenso', 'ferner', 'hierneben', 'im Übrigen', 'neben alldem', 'nicht zuletzt', 'obendrein', 'u. a.', 'über (...) hinaus', 'überdies', 'und', 'unter anderem', 'weiter', 'weiterhin', 'weiters', 'zudem', 'zugleich', 'zumal', 'zusätzlich', 'i. a.', 'inter alia', 'anstellig', 'aufgeweckt', 'aufnahmefähig', 'begabt', 'gelehrig', 'gelehrsam', 'hell', 'lernfähig', 'verständig']",
Blume,,['DRÜSE'],,,"['Pflanze', 'Schwanz', 'Blume', 'Duft', 'Aroma', 'Flor', 'Schaum', 'Schweif', 'Körperteil', 'Gewächs', 'Wohlgeruch', 'Schaumkrone', 'Bierschaum', 'Veigerl', 'Bierkrone']",,"['Blume', 'blühender Trieb', 'Blühtrieb']",
Faserig ,,[],,,"['zäh', 'faserig', 'gefranst']",,"['fadenförmig', 'faserig', 'flaumig', 'fusselig', 'strähnig']",
Violett/Rosa,,[],,,[],,[],
Drüse mit vielen Drüsengängen,,['DRÜSE'],,,"['mittels', 'plus', 'inklusive', 'samt', 'einbezogen', 'auch', 'eingerechnet', 'inbegriffen', 'vermittels', 'bei', 'mit', 'durch', 'gemeinsam', 'einbegriffen', 'zusammen', 'im']",,"['Drüse', 'anhand', 'durch', 'mit', 'mit Hilfe (von)', 'mithilfe', 'mittels', 'per', 'qua', 'unter Einsatz von', 'unter Zuhilfenahme von', 'vermittels', 'vermittelst', 'via', 'über']",
Lumen locker,,['LUMEN'],,,"['einfach', 'aufgelöst', 'abgelöst', 'gelöst', 'fein', 'lose', 'weich', 'locker', 'freundschaftlich', 'entspannt', 'mühelos', 'formlos', 'lasch', 'salopp', 'zwanglos', 'abgenutzt', 'ungezwungen', 'ungebunden', 'leger', 'ausschweifend', 'lässig', 'undicht', 'unanständig', 'zusammenhanglos', 'herausgedreht', 'liederlich', 'unverkrampft', 'bröckelig', 'wackelig', 'unzusammenhängend', 'un', 'sehr', 'nonchalant', 'nicht']",,"['Einheit des Lichtstromes', 'Lumen', 'lax', 'leger', 'locker']",
Gesunde Drüse,,['DRÜSE'],,,"['gesunden', 'gedeihen', 'heilen', 'zunehmen', 'überstehen', 'aufleben', 'genesen', 'sich', 'sich', 'wiederhergestellt', 'wieder', 'wieder', 'wieder', 'stärker', 'sich', 'sich', 'sich', 'sich', 'seiner', 'lebendig', 'geheilt', 'besser', 'sich', 'bergauf']",,['Drüse'],
Lumen löchrig,,['LUMEN'],,,"['fehlerhaft', 'durchlässig', 'porös', 'löchrig']",,"['Einheit des Lichtstromes', 'Lumen', 'durchlöchert', 'leck', 'löcherig', 'löchrig', 'löchrig wie ein Sieb', 'porös', 'undicht', 'zerlöchert', 'löchrig wie Schweizer Käse']",
Drüse Blumenförmig,,"['DRÜSE', 'DRÜSE', 'LUMEN']",,,[],,['Drüse'],
Kreisform mittig,,[],,,['zentral'],,"['im Zentrum', 'in der Mitte', 'mittig', 'zentral']",
Blume,,['DRÜSE'],,,"['Pflanze', 'Schwanz', 'Blume', 'Duft', 'Aroma', 'Flor', 'Schaum', 'Schweif', 'Körperteil', 'Gewächs', 'Wohlgeruch', 'Schaumkrone', 'Bierschaum', 'Veigerl', 'Bierkrone']",,"['Blume', 'blühender Trieb', 'Blühtrieb']",
Kreisform außen,,[],,,"['außerhalb', 'außen', 'äußerlich', 'draußen']",,"['außen', 'äußerlich', 'habituell']",
mit kreisähnlichen Formen gefüllter Ring,,[],,,"['mittels', 'plus', 'inklusive', 'samt', 'einbezogen', 'auch', 'eingerechnet', 'inbegriffen', 'vermittels', 'bei', 'mit', 'durch', 'gemeinsam', 'einbegriffen', 'zusammen', 'im', 'schaffen', 'entwickeln', 'ändern', 'durchsetzen', 'beeinflussen', 'gestalten', 'herstellen', 'konstruieren', 'unterrichten', 'entwerfen', 'anfertigen', 'pressen', 'einwirken', 'zusammensetzen', 'überreden', 'zusammenfügen', 'abändern', 'schnitzen', 'herausarbeiten', 'herausschneiden', 'meißeln', 'kneten', 'deformieren', 'heranbilden', 'formen', 'be', 'Wirkung', 'entstehen', 'einwirken', 'granulieren', 'emporwachsen', 'Bund', 'Vereinigung', 'Ring', 'Zone', 'Zusammenschluss', 'Arena', 'Reifen', 'Fahrbahn', 'mühelos', 'Band', 'Syndikat', 'Kampfplatz', 'Gruppe', 'Straße', 'Verschlussstück', 'Fingerring']",,"['anhand', 'durch', 'mit', 'mit Hilfe (von)', 'mithilfe', 'mittels', 'per', 'qua', 'unter Einsatz von', 'unter Zuhilfenahme von', 'vermittels', 'vermittelst', 'via', 'über', 'ans Tageslicht kommen', 'Ausdruck finden (in)', '(sich) ausprägen', '(sich) erweisen', '(sich) formen', '(sich) niederschlagen (in)', '(sich) zeigen (in)', 'rüberkommen', 'Kringel', 'Ring', 'Windung']",
eindeutiges Zentrum,,[],,,"['Mitte', 'Hauptstadt', 'Zentrum', 'Schutz', 'City', 'Bund', 'Innenstadt', 'Tiefe', 'Mittelpunkt', 'Schwerpunkt', 'Brennpunkt', 'Innenraum', 'Hauptsache', 'Innerste', 'Herzstück', 'Kreuzungspunkt', 'Begegnungsstätte', 'Kernpunkt', 'Tummelplatz', 'Straße']",,"['Kern', 'Knotenpunkt', 'Mittelpunkt', 'Zentrum', 'Epizentrum', 'Herzstück']",
mindestens 10 Zellen sichtbar,,['ZELLE'],,,"['mindestens', 'tatsächlich', 'immerhin', 'sowieso', 'zum', 'zum', 'gut', 'als', 'Zelle', 'Gefängnis', 'Vereinigungen', 'Kerker', 'Einsiedelei', 'Haftanstalt', 'Knast', 'Verlies', 'Gefangenenzelle', 'deutlich', 'direkt', 'klar', 'sichtbar', 'erkennbar', 'auffällig', 'kennzeichnend', 'auffallend', 'körperlich', 'spürbar', 'merklich', 'wahrnehmbar', 'offenkundig', 'anhaltend', 'merkbar', 'merk', 'leicht', 'völlig', 'gut', 'mit', 'ins', 'deutlich', 'klar']",,"['min.', 'mindestens', 'minimal', 'nicht unter', 'wenigstens', 'Minimum', 'sichtbar', 'visibel']",
Zellen sind klar abgrenzbar,,['ZELLE'],,,"['Zelle', 'Gefängnis', 'Vereinigungen', 'Kerker', 'Einsiedelei', 'Haftanstalt', 'Knast', 'Verlies', 'Gefangenenzelle', 'befinden', 'bestehen', 'gehen', 'vertreten', 'existieren', 'Existenz', 'darstellen', 'Wirklichkeit', 'Realität', 'geschehen', 'Anwesenheit', 'vorliegen', 'wohnen', 'eintreten', 'Vorhandensein', 'ausmachen', 'fühlen', 'verbringen', 'dasein', 'verkörpern', 'walten', 'widerfahren', 'Betriebsamkeit', 'Sein', 'sein', 'kommen', 'zu', 'wert', 'sich', 'sich', 'sich', 'gewachsen', 'erscheinen', 'den', 'auftreten', 'deutlich', 'bestimmt', 'rein', 'klar', 'eindeutig', 'sicher', 'durchaus', 'offen', 'offenbar', 'sichtbar', 'erkennbar', 'natürlich', 'entschieden', 'ausdrücklich', 'gegliedert', 'explizit', 'gelöst', 'schön', 'offensichtlich', 'konkret', 'präzise', 'verständlich', 'selbstverständlich', 'fein', 'anschaulich', 'abgegrenzt', 'sicherlich', 'entschlossen', 'freundlich', 'nachvollziehbar', 'einverstanden', 'unterscheidend', 'klar']",,"['ergibt (Rechnen)', 'gibt (Rechnen)', 'ist (Rechnen)', 'ist gleich', 'macht (Rechnen)', 'sind (Rechnen)', 'durchscheinend', 'durchsichtig', 'klar', 'transparent', 'ungetrübt']",
Zellen sind annähernd gleich groß,,['ZELLE'],,,"['Zelle', 'Gefängnis', 'Vereinigungen', 'Kerker', 'Einsiedelei', 'Haftanstalt', 'Knast', 'Verlies', 'Gefangenenzelle', 'befinden', 'bestehen', 'gehen', 'vertreten', 'existieren', 'Existenz', 'darstellen', 'Wirklichkeit', 'Realität', 'geschehen', 'Anwesenheit', 'vorliegen', 'wohnen', 'eintreten', 'Vorhandensein', 'ausmachen', 'fühlen', 'verbringen', 'dasein', 'verkörpern', 'walten', 'widerfahren', 'Betriebsamkeit', 'Sein', 'sein', 'kommen', 'zu', 'wert', 'sich', 'sich', 'sich', 'gewachsen', 'erscheinen', 'den', 'auftreten', 'rund', 'nahezu', 'ungefähr', 'geschätzt', 'circa', 'beinahe', 'annähernd', 'genügend', 'verhältnismäßig', 'zirka', 'schätzungsweise', 'gewissermaßen', 'einigermaßen', 'etwa', 'neben', 'leidlich', 'annäherungsweise', 'fast', 'entsprechend', 'um', 'so', 'kurzangebunden', 'direkt', 'schnell', 'bald', 'sofort', 'identisch', 'genauso', 'zurzeit', 'gleichmäßig', 'angemessen', 'gleichwertig', 'gleichberechtigt', 'sogleich', 'deckungsgleich', 'unverzüglich', 'alsbald', 'unwesentlich', 'gleichgültig', 'übereinstimmend', 'einhellig', 'gleichförmig', 'auch', 'gleichrangig', 'prompt', 'demnächst', 'gleichartig', 'augenblicklich', 'schnellstens', 'ähnlich', 'desinteressiert', 'ebenfalls', 'sinnverwandt', 'bekannt', 'lang', 'groß', 'hoch', 'angesehen', 'wichtig', 'berühmt', 'verhältnismäßig', 'unendlich', 'ungewöhnlich', 'außerordentlich', 'umfassend', 'enorm', 'ausgedehnt', 'anschaulich', 'empfindlich', 'unerwartet', 'beträchtlich', 'außergewöhnlich', 'umfangreich', 'mächtig', 'gründlich', 'großflächig', 'hervorragend', 'einflussreich', 'glänzend', 'erwachsen', 'eindrucksvoll', 'nennenswert']",,"['ergibt (Rechnen)', 'gibt (Rechnen)', 'ist (Rechnen)', 'ist gleich', 'macht (Rechnen)', 'sind (Rechnen)', 'annähernd', 'beinahe', 'fast', 'haarscharf', 'kaum', 'knapp', 'nahezu', 'so gut wie', 'soeben', 'soeben noch', 'auf Kante genäht', 'bald', 'fünf vor zwölf', 'gerade noch', 'kurz vor knapp', 'um ein Haar', 'aus einem Guss', 'ebenmäßig', 'einheitlich', 'gleich', 'gleichartig', 'gleichförmig', 'homogen', 'identisch', 'von Bedeutung', 'wichtig (sein)', 'ankommen auf (es)', 'bedeutend', 'bedeutsam', 'Bedeutung haben', 'entscheidend', 'erheblich', 'Gewicht haben', 'gewichtig', 'groß', 'großgeschrieben werden', 'hoch im Kurs stehen', '(einen) hohen Stellenwert genießen', '(einen) hohen Stellenwert haben', 'ins Gewicht fallen(d)', 'keine Kleinigkeit (sein)', 'maßgeblich', 'nicht zu unterschätzen', 'nicht zu vernachlässigen (sein)', 'relevant', 'von Belang', 'von Gewicht', 'von großer Bedeutung', 'von großer Wichtigkeit', 'von Relevanz', 'wesentlich', 'zählen', 'zentral']",
klare Drüsenwand,,['DRÜSE'],,,"['Klare', 'Schnaps']",,[],
sternförmige Anordnung der Zellen,,['ZELLE'],,,"['Verfügung', 'Gattung', 'Führung', 'Leitung', 'Kategorie', 'Schritt', 'Gestalt', 'Bestimmung', 'Kontext', 'Berechnung', 'Einteilung', 'Design', 'Befehl', 'Reihenfolge', 'Anordnung', 'Mischung', 'Order', 'Bedingung', 'Auflage', 'Festlegung', 'Erlass', 'Anweisung', 'Verpflichtung', 'Formation', 'Zusammenstellung', 'Beschaffenheit', 'Gebot', 'Gruppierung', 'Statut', 'Appell', 'Platzierung', 'Gesetzentwurf', 'Positionierung', 'Karosserie', 'Klasse', 'Mahnung', 'Formierung', 'Memento', 'Grundgerüst', 'Diktat', 'Abstufung', 'Direktive', 'Ordnung', 'welcher', 'Zelle', 'Gefängnis', 'Vereinigungen', 'Kerker', 'Einsiedelei', 'Haftanstalt', 'Knast', 'Verlies', 'Gefangenenzelle']",,"['Anordnung', 'Anweisung', 'Instruktion', 'Vorschrift', 'der', 'dieser', 'jener', 'solcher', 'welcher']",
    ,,,,,,,,
info:,,,,,,,,
number of survery part:13,,,,,,,,
