doppelvorkommen,wo,NR,in feature
qshift,in features selber,2,"{'qshift anja', 'qshift'}"
Gland,in features selber,2,"{'Gland boundary dicker ', 'Gland boundary stabil '}"
boundary,in features selber,2,"{'Gland boundary dicker ', 'Gland boundary stabil '}"
Formen,in features selber,3,"{'mit kreisähnlichen Formen gefüllter Ring', 'klar definierte Formen im Inneren der Dr', 'meist runde oder ovale Formen'}"
Lumen,in features selber,6,"{'blütenförmige anordnung der Lumen', 'einheitliches und weißes Lumen', 'Lumen löchrig', 'Lumen locker', 'Ein zentrales Lumen', 'eiförmige Lumen'}"
geordnet,in features selber,2,"{'zellen geordnet', 'geordnet'}"
Drüse,in features selber,4,"{'Drüse mit vielen Drüsengängen', 'Gesunde Drüse', 'Drüse klar abgegrenzt', 'Drüse Blumenförmig'}"
Blumenförmig,in features selber,2,"{'Drüse Blumenförmig', 'Blumenförmig'}"
Kreisform,in features selber,2,"{'Kreisform außen', 'Kreisform mittig'}"
Zellen,in features selber,4,"{'mindestens 10 Zellen sichtbar', 'Zellen sind annähernd gleich groß', 'sternförmige Anordnung der Zellen', 'Zellen sind klar abgrenzbar'}"
Anordnung,in features selber,2,"{'regelmäßige Anordnung weißer Anteile', 'sternförmige Anordnung der Zellen'}"
Niederschlag,woxikon,3,"['regelmäßige Anordnung weißer Anteile', 'einheitliches und weißes Lumen', 'große weiße Epithelzellen']"
einverstanden,woxikon,3,"['klar definierte Formen im Inneren der Dr', 'Drüse klar abgegrenzt', 'Zellen sind klar abgrenzbar']"
Einzelheit,woxikon,2,"['regelmäßige Anordnung weißer Anteile', 'Segmente kreisförmig um Mittelpunkt']"
Bedingung,woxikon,4,"['regelmäßige Anordnung weißer Anteile', 'blütenförmige anordnung der Lumen', 'weis vor rotem Grund', 'sternförmige Anordnung der Zellen']"
,woxikon,12,"['physiologisch?', 'Basaly located nuclei', 'Goblet cells', 'Violett/Rosa', 'H &E', 'Drüse Blumenförmig', 'Becherzellen?', 'Blumenförmig', 'Gänseblümchenartig', 'qshift anja', 'Zellkerne', 'eiförmige Lumen']"
gesund,woxikon,2,"['Normal crypt architecture', 'Gland boundary stabil ']"
allgemein,woxikon,2,"['meist runde oder ovale Formen', 'Normal crypt architecture']"
Menge,woxikon,2,"['regelmäßige Anordnung weißer Anteile', 'meist runde oder ovale Formen']"
Führung,woxikon,4,"['blütenförmige anordnung der Lumen', 'meist runde oder ovale Formen', 'sternförmige Anordnung der Zellen', 'regelmäßige Anordnung weißer Anteile']"
granulieren,woxikon,3,"['mit kreisähnlichen Formen gefüllter Ring', 'klar definierte Formen im Inneren der Dr', 'meist runde oder ovale Formen']"
ansonsten,woxikon,3,"['meist runde oder ovale Formen', 'Dunkel und hell', 'einheitliches und weißes Lumen']"
leer,woxikon,2,"['einheitliches und weißes Lumen', 'große weiße Epithelzellen']"
deutlich,woxikon,2,"['klar definierte Formen im Inneren der Dr', 'Drüse klar abgegrenzt']"
erkennbar,woxikon,4,"['mindestens 10 Zellen sichtbar', 'klar definierte Formen im Inneren der Dr', 'Drüse klar abgegrenzt', 'Zellen sind klar abgrenzbar']"
gegliedert,woxikon,6,"['Drüse klar abgegrenzt', 'Zellen sind klar abgrenzbar', 'zellen geordnet', 'Mehrfach geteilt', 'geordnet', 'klar definierte Formen im Inneren der Dr']"
fein,woxikon,4,"['klar definierte Formen im Inneren der Dr', 'Drüse klar abgegrenzt', 'Lumen locker', 'Zellen sind klar abgrenzbar']"
schön,woxikon,4,"['klar definierte Formen im Inneren der Dr', 'Drüse klar abgegrenzt', 'Dunkel und hell', 'Zellen sind klar abgrenzbar']"
anschaulich,woxikon,4,"['Zellen sind annähernd gleich groß', 'klar definierte Formen im Inneren der Dr', 'Drüse klar abgegrenzt', 'Zellen sind klar abgrenzbar']"
definieren,woxikon,2,['klar definierte Formen im Inneren der Dr']
Ordnung,woxikon,3,"['blütenförmige anordnung der Lumen', 'sternförmige Anordnung der Zellen', 'regelmäßige Anordnung weißer Anteile']"
Auflage,woxikon,4,"['blütenförmige anordnung der Lumen', 'zerfurchtes Äußeres', 'sternförmige Anordnung der Zellen', 'regelmäßige Anordnung weißer Anteile']"
Schutz,woxikon,3,"['zerfurchtes Äußeres', 'Segmente kreisförmig um Mittelpunkt', 'eindeutiges Zentrum']"
Klare,woxikon,3,"['klare Drüsenwand', 'klare Abtrennung durch Mucosa', 'klare Trennungen']"
Absonderung,woxikon,2,"['klare Trennungen', 'klare Abtrennung durch Mucosa']"
wegen,woxikon,2,"['weis vor rotem Grund', 'klare Abtrennung durch Mucosa']"
aufgrund,woxikon,2,"['Segmente kreisförmig um Mittelpunkt', 'klare Abtrennung durch Mucosa']"
Kernpunkt,woxikon,3,"['kreisrunde Mitte', 'Segmente kreisförmig um Mittelpunkt', 'eindeutiges Zentrum']"
Kreuzung,woxikon,2,"['kreisrunde Mitte', 'Segmente kreisförmig um Mittelpunkt']"
solide,woxikon,2,"['stroma unauffällig', 'Gland boundary stabil ']"
un,woxikon,3,"['stroma unauffällig', 'Lumen locker']"
kräftig,woxikon,3,"['Dunkel und hell', 'rund', 'Gland boundary stabil ']"
aufs,woxikon,2,"['Sehr dunkle Drüsenbegrenzung', 'Dunkel und hell']"
geheim,woxikon,2,"['stroma unauffällig', 'Dunkel und hell']"
Schein,woxikon,2,"['zerfurchtes Äußeres', 'Dunkel und hell']"
inbegriffen,woxikon,4,"['Drüse mit vielen Drüsengängen', 'mit kreisähnlichen Formen gefüllter Ring', 'einheitliches und weißes Lumen', 'Dunkel und hell']"
aufgelöst,woxikon,2,"['Mehrfach geteilt', 'Lumen locker']"
lose,woxikon,2,"['Lumen locker', 'Dunkel und hell']"
emporwachsen,woxikon,2,"['mit kreisähnlichen Formen gefüllter Ring', 'klar definierte Formen im Inneren der Dr']"
mühelos,woxikon,2,"['mit kreisähnlichen Formen gefüllter Ring', 'Lumen locker']"
Gruppe,woxikon,2,"['mit kreisähnlichen Formen gefüllter Ring', 'meist runde oder ovale Formen']"
Mitte,woxikon,2,"['kreisrunde Mitte', 'eindeutiges Zentrum']"
Tummelplatz,woxikon,2,"['Segmente kreisförmig um Mittelpunkt', 'eindeutiges Zentrum']"
Bund,woxikon,2,"['mit kreisähnlichen Formen gefüllter Ring', 'eindeutiges Zentrum']"
gut,woxikon,2,['mindestens 10 Zellen sichtbar']
Verlies,woxikon,5,"['Zellen sind annähernd gleich groß', 'Zellen sind klar abgrenzbar', 'zellen geordnet', 'sternförmige Anordnung der Zellen', 'mindestens 10 Zellen sichtbar']"
Gefangenenzelle,woxikon,4,"['zellen geordnet', 'mindestens 10 Zellen sichtbar', 'Zellen sind annähernd gleich groß', 'Zellen sind klar abgrenzbar']"
Zelle,woxikon,3,"['zellen geordnet', 'Zellen sind annähernd gleich groß', 'Zellen sind klar abgrenzbar']"
auftreten,woxikon,2,"['Zellen sind annähernd gleich groß', 'Zellen sind klar abgrenzbar']"
schätzungsweise,woxikon,2,"['Zellen sind annähernd gleich groß', 'Segmente kreisförmig um Mittelpunkt']"
ausgedehnt,woxikon,2,"['Zellen sind annähernd gleich groß', 'rund']"
verhältnismäßig,woxikon,2,['Zellen sind annähernd gleich groß']
glänzend,woxikon,2,"['Zellen sind annähernd gleich groß', 'Dunkel und hell']"
Zelle,woxikon,2,"['mindestens 10 Zellen sichtbar', 'sternförmige Anordnung der Zellen']"
rum,theseus,0,"['Segmente kreisförmig um Mittelpunkt', 'rund']"
Zahl,theseus,0,"['keine auffälligkeiten', 'Segmente kreisförmig um Mittelpunkt', 'rund']"
,theseus,12,"['physiologisch?', 'Basaly located nuclei', 'Goblet cells', 'klare Trennungen', 'Violett/Rosa', 'H &E', 'Becherzellen?', 'Blumenförmig', 'Gänseblümchenartig', 'qshift anja', 'Zellkerne', 'klare Drüsenwand']"
Brot,theseus,0,['Normal crypt architecture']
weit,theseus,0,"['No inflammation', 'Normal crypt architecture']"
stark,theseus,1,"['Sehr dunkle Drüsenbegrenzung', 'Gland boundary stabil ']"
zeigen,theseus,0,"['mit kreisähnlichen Formen gefüllter Ring', 'klar definierte Formen im Inneren der Dr', 'meist runde oder ovale Formen']"
a,theseus,0,"['Dunkel und hell', 'einheitliches und weißes Lumen']"
transparent,theseus,0,"['klar definierte Formen im Inneren der Dr', 'Drüse klar abgegrenzt', 'Zellen sind klar abgrenzbar']"
Vorschrift,theseus,0,"['blütenförmige anordnung der Lumen', 'sternförmige Anordnung der Zellen', 'regelmäßige Anordnung weißer Anteile']"
Einheit,theseus,0,"['Ein zentrales Lumen', 'blütenförmige anordnung der Lumen', 'einheitliches und weißes Lumen']"
Lichtstromes,theseus,0,"['blütenförmige anordnung der Lumen', 'einheitliches und weißes Lumen', 'Lumen löchrig', 'Lumen locker', 'Ein zentrales Lumen', 'eiförmige Lumen']"
Lumen,theseus,0,"['Ein zentrales Lumen', 'blütenförmige anordnung der Lumen', 'einheitliches und weißes Lumen', 'eiförmige Lumen']"
via,theseus,0,"['Drüse mit vielen Drüsengängen', 'mit kreisähnlichen Formen gefüllter Ring', 'klare Abtrennung durch Mucosa']"
Mittelpunkt,theseus,3,"['kreisrunde Mitte', 'Segmente kreisförmig um Mittelpunkt', 'eindeutiges Zentrum']"
Interstitium,theseus,0,"['Stroma netzförmig', 'stroma unauffällig']"
mal,theseus,0,['keine auffälligkeiten']
systematisch,theseus,0,"['zellen geordnet', 'geordnet']"
annähernd,theseus,3,"['Zellen sind annähernd gleich groß', 'Segmente kreisförmig um Mittelpunkt', 'rund']"
alia,theseus,0,"['einheitliches und weißes Lumen', 'Dunkel und hell']"
Drüse,theseus,0,"['Drüse mit vielen Drüsengängen', 'Drüse klar abgegrenzt']"
Einheit,theseus,0,"['Lumen löchrig', 'Lumen locker', 'eiförmige Lumen']"
Lumen,theseus,0,"['Lumen löchrig', 'Lumen locker']"
löchrig,theseus,0,['Lumen löchrig']
Drüse,theseus,0,"['Gesunde Drüse', 'Drüse Blumenförmig']"
rüberkommen,theseus,0,"['mit kreisähnlichen Formen gefüllter Ring', 'klar definierte Formen im Inneren der Dr']"
Herzstück,theseus,0,"['Segmente kreisförmig um Mittelpunkt', 'eindeutiges Zentrum']"
macht,theseus,0,"['Zellen sind annähernd gleich groß', 'Zellen sind klar abgrenzbar']"
ungetrübt,theseus,0,"['Drüse klar abgegrenzt', 'Zellen sind klar abgrenzbar']"
großer,theseus,0,['Zellen sind annähernd gleich groß']
Gewicht,theseus,0,"['Gland boundary dicker ', 'Zellen sind annähernd gleich groß']"
zentral,theseus,0,"['Zellen sind annähernd gleich groß', 'Kreisform mittig']"
